id,title,description,shortdesc,image,tags,skills,link,year
0,ReFrame: Layer Caching for Accelerated Inference in Real-Time Rendering,"Published to ICML 2025, we accelerate real-time rendering workloads by introducing approximate layer caching.",A technique to reuse intermediate features in rendering networks.,./images/icml.jpg,"Software,Research,ML","PyTorch,CUDA",https://ubc-aamodt-group.github.io/reframe-layer-caching/,2025
1,TTA: Generalized Ray Tracing Accelerator,"Published to MICRO 2024, we show how a ray tracing accelerator can be easily extended to accelerate general tree traversal applications.",A general-purpose tree-traversal accelerator based on ray tracing.,./images/tta.jpg,"Simulation,Hardware,Research","C++,CUDA,Vulkan,GPGPU-Sim,Verilog",./projects/micro2024.html,2024
2,LumiBench,"Published to IISWC 2023, LumiBench is the first benchmark suite for evaluating ray tracing hardware performance in modern GPUs designed to execute on the Vulkan-Sim GPU simulator.",A benchmark suite for ray tracing research,./images/lumibench-project.jpeg,"Simulation, Research","C++,Vulkan,GPGPU-Sim,Python",./projects/iiswc2023.html,2023
3,Vulkan-Sim,"Published to MICRO 2022, Vulkan-Sim fills the gap in architectural ray tracing simulation. We extend GPGPU-Sim, integrating with Mesa, to support the Vulkan API and simulate cycle-level execution of ray tracing workloads on modern GPUs.",A cycle-level simulator for Vulkan ray tracing applications.,./images/MICRO22.png,"Simulation,Hardware,Research","C++,Vulkan,GPGPU-Sim,Python",https://github.com/ubc-aamodt-group/vulkan-sim,2022
4,Ray Intersection Predictor,"Published to MICRO 2021, we propose a ray intersection predictor that speculatively elides redundant operations during ray traversal in ray-traced ambient occlusion workloads. On a mobile class GPU with a ray tracing accelerator unit, we find the addition of a 5.5KB predictor per SM improves performance by a geometric mean of 26%.",A hardware predictor module designed to accelerate ray tracing on GPUs.,./images/MICRO.JPG,"Simulation,Hardware,Research","C++,CUDA,GPGPU-Sim,GPUWattch,CACTI7",./projects/micro2021.html,2021
5,JPEG-ACT,"Published to ISCA 2020, we show how JPEG compresion for activations in convolutional neural networks can achieve 2.4x higher training performance while consuming less than 1% overhead in power and area of a modern GPU. In this work, I helped model the hardware unit to estimate costs. ",A JPEG compression method for activation storage in convolutional neural network training.,./images/ISCA.JPG,"Hardware,Research","C++,Verilog",https://people.ece.ubc.ca/aamodt/papers/evans.isca2020.pdf,2020
6,Electric Shock Risk Assessment,Krypton is a web-based tool designed to mimic the existing Argon software but modified to support criteria from BC Hydro. This tool uses IEEE standards to assess the probability of ventricular fibrillation near a high-voltage transmission line when a ground fault occurs. ,A web-based tool to assess probability of ventricular fibrillation near a high-voltage ground fault. ,./images/krypton.JPG,"Simulation,Software","JavaScript,HTML,Circuits,MATLAB",./krypton/krypton.html,2020
7,Netflix Wrapped,"Neflix Wrapped helps visualize personal Netflix data, showing the viewing activity for the year. This project is built in Observable and is inspired by the popular Spotify Wrapped.",A visualization of your Netflix data showing viewing activity for the year. ,./images/netflix-wrapped.JPG,Software,"JavaScript, CSS, HTML,Observable",./netflix-wrapped/index.html,2021
8,VLSI Router,"Completed for the CPEN 513 course, this project features a basic maze router implemented using the Lee-Moore and A* algorithms to perform detailed routing from source pins to multiple sink pins without overlap. The algorithm is visualized in an interactive GUI.",A basic maze router implemented using the Lee-Moore and A* algorithms to perform detailed routing from source pins to multiple sink pins without overlap.,./images/assn1.JPG,"Hardware,Simulation","Python,CAD,Tkinter",https://github.com/lucylufei/CPEN513-assn1,2021
9,VLSI Placement,"Completed for the CPEN 513 course, this project features an implementation of tuned Simulated Annealing to minimize cost function for VLSI chip placement. The algorithm is visualized in an interactive GUI.",An implementation of tuned Simulated Annealing to minimize cost function for VLSI chip placement.,./images/assn2.JPG,"Hardware,Simulation","Python,CAD,Tkinter",https://github.com/lucylufei/CPEN513-assn2,2021
